Handle,Title,Level,Smart rule
guitars-bass,Guitars & Bass,Family,"Product tag is equal to ""Guitars & Bass"""
oud,Oud,Family,"Product tag is equal to ""Oud"""
percussion,Percussion,Family,"Product tag is equal to ""Percussion"""
accordions,Accordions,Family,"Product tag is equal to ""Accordions"""
violins-wind,Violins & Wind,Family,"Product tag is equal to ""Violins & Wind"""
audio-studio,Audio & Studio,Family,"Product tag is equal to ""Audio & Studio"""
strings-accessories,Strings & Accessories,Family,"Product tag is equal to ""Strings & Accessories"""
acoustic-guitars,Acoustic Guitars,Under Guitars & Bass,"Product tag is equal to ""Acoustic Guitars"""
classical-guitars,Classical Guitars,Under Guitars & Bass,"Product tag is equal to ""Classical Guitars"""
electric-guitars,Electric Guitars,Under Guitars & Bass,"Product tag is equal to ""Electric Guitars"""
bass-guitars,Bass Guitars,Under Guitars & Bass,"Product tag is equal to ""Bass Guitars"""
kids-guitars,Kids' Guitars,Under Guitars & Bass,"Product tag is equal to ""Kids' Guitars"""
darbuka,Darbuka,Under Percussion,"Product tag is equal to ""Darbuka"""
riq-frame-drums,Riq & Frame Drums,Under Percussion,"Product tag is equal to ""Riq & Frame Drums"""
tabl-bass-drums,Tabl & Bass Drums,Under Percussion,"Product tag is equal to ""Tabl & Bass Drums"""
drum-kits-bongos,Drum Kits & Bongos,Under Percussion,"Product tag is equal to ""Drum Kits & Bongos"""
drum-heads,Drum Heads,Under Percussion,"Product tag is equal to ""Drum Heads"""
piano-accordions,Piano Accordions,Under Accordions,"Product tag is equal to ""Piano Accordions"""
button-accordions,Button Accordions,Under Accordions,"Product tag is equal to ""Button Accordions"""
violins,Violins,Under Violins & Wind,"Product tag is equal to ""Violins"""
electric-violins,Electric Violins,Under Violins & Wind,"Product tag is equal to ""Electric Violins"""
flutes-ney,Flutes & Ney,Under Violins & Wind,"Product tag is equal to ""Flutes & Ney"""
recorders,Recorders,Under Violins & Wind,"Product tag is equal to ""Recorders"""
saxophones-brass,Saxophones & Brass,Under Violins & Wind,"Product tag is equal to ""Saxophones & Brass"""
microphones,Microphones,Under Audio & Studio,"Product tag is equal to ""Microphones"""
amplifiers,Amplifiers,Under Audio & Studio,"Product tag is equal to ""Amplifiers"""
speakers-pa,Speakers & PA,Under Audio & Studio,"Product tag is equal to ""Speakers & PA"""
effects-pedals,Effects Pedals,Under Audio & Studio,"Product tag is equal to ""Effects Pedals"""
studio-recording,Studio & Recording,Under Audio & Studio,"Product tag is equal to ""Studio & Recording"""
midi-controllers,MIDI Controllers,Under Audio & Studio,"Product tag is equal to ""MIDI Controllers"""
footswitches,Footswitches,Under Audio & Studio,"Product tag is equal to ""Footswitches"""
guitar-strings,Guitar Strings,Under Strings & Accessories,"Product tag is equal to ""Guitar Strings"""
oud-saz-strings,Oud & Saz Strings,Under Strings & Accessories,"Product tag is equal to ""Oud & Saz Strings"""
violin-bass-strings,Violin & Bass Strings,Under Strings & Accessories,"Product tag is equal to ""Violin & Bass Strings"""
straps,Straps,Under Strings & Accessories,"Product tag is equal to ""Straps"""
stands,Stands,Under Strings & Accessories,"Product tag is equal to ""Stands"""
tuners-pickups,Tuners & Pickups,Under Strings & Accessories,"Product tag is equal to ""Tuners & Pickups"""
cases-care,Cases & Care,Under Strings & Accessories,"Product tag is equal to ""Cases & Care"""
arabic-instruments,Arabic Instruments,Feature,"Product tag is equal to ""Arabic Instruments"""
vintage-collectible,Vintage & Collectible,Feature,"Product tag is equal to ""Vintage & Collectible"""
new-arrivals,New Arrivals,Feature,"Product tag is equal to ""New Arrivals"""
beginner-student,Beginner & Student,Feature,"Product tag is equal to ""Beginner & Student"""
